,,,,,,,,,,,,,0.000215018,0.000281872,0.000354699,0.001707594,,,
,,,,,,,,,,,,,0.000466614,0.000679478,0.001414835,0.001955473,,,
,,,,,,,,,,,,,0.00105293,0.001609941,0.002531911,0.003926046,,,
,,,,,,,,,,,,,0.002555532,0.00370435,0.006641706,0.009797345,,,
,,,,,,,,,,,,,0.006987801,0.009457354,0.020192428,0.024629642,,,
,,,,,,,,,,,,,0.021056204,0.026068246,0.065383427,0.07302952,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TRMM NONSQ,cuBLAS,rocBLAS,,,,
,,,,,,,,,,,,,256,122.4831724,215.5925156,,,,
,,,,,,,,,,,,,512,125.313361,216.6080404,,,,
,,,,,,,,,,,,,1024,131.0922806,481.4205848,,,,
,,,,,,,,,,,,,2048,145.6188627,138.2120883,,,,
,,,,,,,,,,,,,4096,152.9010476,155.0625595,,,,
,,,,,,,,,,,,,8192,144.9541622,147.5124765,,,,
,,,,,,,,,,,,,16384,135.3409177,121.9746432,,,,
,,,,,,,,,,,,,32768,123.8031603,111.6942371,,,,
,,,,,,,,,,,,,,,,,,,1.22E+00
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TRMM SQ,,,,,,
,,,,,,,,,,,,,Julia,cuBLAS,Julia,rocBLAS,,,
,,,,,,,,,,,,,5.51E-05,6.73E-05,6.71E-05,0.00014094,,,
,,,,,,,,,,,,,0.000189491,0.000138576,0.000192439,0.000324329,,,
,,,,,,,,,,,,,0.000628494,0.000337485,0.000697947,0.001756252,,,
,,,,,,,,,,,,,0.002495804,0.001209891,0.003258247,0.003058697,,,
,,,,,,,,,,,,,0.010758479,0.005397679,0.016426839,0.014865537,,,
,,,,,,,,,,,,,0.055239896,0.034162937,0.112368471,0.111382055,,,
,,,,,,,,,,,,,0.332771199,0.252214202,0.936205777,1.002549515,,,
,,,,,,,,,,,,,2.269918204,1.954783452,7.196000836,7.030832732,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TRMM SQ,cuBLAS,rocBLAS,,,,
,,,,,,,,,,,,,256,1.22E+02,210.1073345,,,,
,,,,,,,,,,,,,512,73.13065,168.5360036,,,,
,,,,,,,,,,,,,1024,53.69741,251.631141,,,,
,,,,,,,,,,,,,2048,48.4770038,93.87554105,,,,
,,,,,,,,,,,,,4096,50.17139505,90.49542033,,,,
,,,,,,,,,,,,,8192,61.84468016,99.12215945,,,,
,,,,,,,,,,,,,16384,75.79207659,107.0864483,,,,
,,,,,,,,,,,,,32768,86.11691155,97.70472367,,,,
